area,eccentricity,major_axis_length,minor_axis_length,label
675223,0.6498945079362353,1067.4292398456444,811.2722956166622,CL
822393,0.6245329113765679,1161.0905339597903,906.8099546866474,CL
659563,0.551005795942429,1007.2188750890805,840.5255772012401,CL
615677,0.6148249471386941,1009.3910838985711,796.070012697703,CL
778677,0.5753225991264103,1105.2846777430962,904.0417276520095,CL
700597,0.47220276028214075,1012.2399038358184,892.2793144102767,CL
827460,0.5800768536029309,1139.2214544190244,927.9662210953128,CL
536600,0.7183402345354485,1004.0127616585821,698.4836090820431,CL
655900,0.6451203657728256,1049.1844791628,801.6618842141442,CL
720217,0.5721886762724343,1062.3621779081373,871.2666095251881,CL
776508,0.6473639585660373,1142.5019474664455,870.7932980991234,CL
706967,0.7367231066053155,1164.9435372919952,787.7284664471629,CL
753466,0.5976652497808919,1098.764194712972,880.9295244331386,CL
723982,0.43413492603121273,1019.9709190000845,918.8386191528022,CL
811954,0.6031602503617772,1145.1200523049183,913.3706905637256,CL
610830,0.5799982975316627,985.7972814958359,803.0479006296722,CL
469017,0.38381172185696266,811.2872665849522,749.1518880227387,CL
951351,0.601452138940674,1237.7109651241115,988.8182236048457,CL
664756,0.6264381607050434,1046.5253349042252,815.7362775232048,CL
908626,0.435001129667265,1145.0665666620605,1031.0521819809235,CL
517380,0.4039910098413313,857.0147417737653,783.965337723046,CL
828913,0.459544456748681,1095.182936543922,972.6919471397808,CL
399259,0.583129841958226,801.4106356762943,651.0491450410058,CL
685335,0.4693059129736817,1009.4129397834665,891.3476119013704,CL
601798,0.5333348839340719,955.7263365591407,808.4529142379791,CL
