area,eccentricity,major_axis_length,minor_axis_length,label
511766,0.41744899875116653,850.7385008273507,773.0663769015918,M
585153,0.36343929343003273,896.8732058124417,835.543117350024,M
575145,0.5592450933503246,943.534947756842,782.1927056476866,M
593059,0.6132468712519563,984.6950146586144,777.8020308943619,M
491562,0.523881502832495,861.2105117212379,733.5714960999143,M
581423,0.6414282865446137,993.3919319992807,762.1134010982748,M
642478,0.41004898970000964,960.1394117773689,875.7081113481353,M
638195,0.506019129979922,980.3429361229844,845.5675997813108,M
600825,0.4610518573855445,933.9721667172728,828.7818643562955,M
688973,0.28825909972773156,961.8251819078305,920.9980578622518,M
693834,0.40315777154087434,987.478562233854,903.6717391827517,M
635864,0.46909940328505106,960.8100567697926,848.5349559606572,M
696865,0.4065815167600302,987.4519456585933,902.1504240474853,M
620694,0.3961020004722063,936.5156864472316,859.9148052225846,M
672720,0.6282457124793602,1055.1029150584661,820.8858839669051,M
638424,0.3477633164159665,938.1408287671593,879.5842892321733,M
719985,0.47344123906848895,1022.5176431865755,900.6595166314637,M
641906,0.37043248883929375,944.7841769816358,877.5716567647195,M
562852,0.5526186451593158,931.4220647082801,776.2790409646525,M
755904,0.4940807266167204,1057.8654428512193,919.7251750366696,M
492547,0.6099542778742847,894.2544469686328,708.6399613242658,M
478457,0.5629367499921114,861.642883899248,712.1478255635925,M
633767,0.33519950803822335,930.3598679217325,876.5359165807973,M
606853,0.39385411678752913,918.7229371242043,844.4652836824744,M
456991,0.4823244613421844,823.0273727141296,720.9659250828066,M
