area,eccentricity,major_axis_length,minor_axis_length,label
234172,0.9828977113411139,1280.9069479023756,235.88202816930632,AG
485756,0.9275386624171079,1367.538435789779,511.0863282501647,AG
422570,0.9687145231846281,1638.08918147418,406.53721137339716,AG
424978,0.8984833925799259,1114.9981432559007,489.4925577909662,AG
240596,0.9953250670067714,1786.5706577623012,172.54990378132476,AG
261570,0.9899959248958617,1543.8325373696134,217.82852716245924,AG
301364,0.9931158170779291,1817.192552456096,212.8596858563228,AG
352851,0.971844673313415,1916.4879799719117,451.5675607355497,AG
249332,0.9922149547512846,1603.745658697654,199.7257967157245,AG
194075,0.9864454891860281,1235.0943143889742,202.66575579938748,AG
282905,0.9924245045080434,1718.5469816746202,211.13385075659613,AG
233691,0.9808894515606789,1901.7954055558646,370.0245072028956,AG
325392,0.9889077039321674,1680.080075752314,249.54451182472232,AG
275285,0.9920774613054608,1675.893857270911,210.53863578775199,AG
228445,0.9955676711243902,1764.4221435031284,165.94024156265985,AG
400550,0.9836857776879083,1695.334770442535,304.98262430928827,AG
224628,0.9912124944637195,1481.128789547932,195.92255414392352,AG
337517,0.9773481231743831,1731.7074181877688,366.495107185687,AG
321195,0.9757367515370717,1378.0433228083648,301.71846049647075,AG
249563,0.9946339339120962,1759.0391037016216,181.98479515736707,AG
300366,0.9913449864836713,1713.4312263124048,224.94368484787375,AG
230404,0.9875012408176466,1374.0627869218004,216.56772403252032,AG
301118,0.9899527261898274,1652.7384035795117,233.69510581649234,AG
257866,0.9930222482554659,1674.136395041777,197.4261462893589,AG
257220,0.9946705686612092,1798.703643409685,185.45375872132712,AG
