area,eccentricity,major_axis_length,minor_axis_length,label
785135,0.6259009126822627,1139.7828320101873,888.9195809793655,J
720353,0.4991743136695146,1030.4717679127639,892.9054248113907,J
612151,0.6350303238874351,1011.2034487214706,781.1417296211827,J
622521,0.46155884640922307,955.2738241883,847.4325740838988,J
624444,0.6447414207996136,1029.7966222668665,787.1773061677844,J
688069,0.572260283144503,1038.1400450279416,851.3496356373668,J
895173,0.7293200362033064,1297.3344954782438,887.6008458706584,J
794186,0.6314279573028422,1152.3030577533104,893.5355981507057,J
583727,0.5109919791383393,935.0524332669524,803.757494582181,J
801812,0.34440183784772244,1048.2944705754983,984.1622611773688,J
695987,0.4498397309532052,1008.4784405041402,900.6814710767652,J
706115,0.49354238308139237,1018.779091712492,886.0543308055991,J
633341,0.252653696731148,930.866968751581,900.666640642101,J
867358,0.48095941248470114,1133.2722885135984,993.5883880244277,J
675467,0.4431970925419178,987.7588099466114,885.4508959398884,J
701433,0.47463357530357225,1011.2712678172985,890.1042698952557,J
763633,0.39329587480810574,1037.7611954352872,954.1300562127518,J
713769,0.5310374347404865,1049.0738162548716,888.930977542711,J
669946,0.5837665201179122,1030.8109543806133,836.937657441464,J
735021,0.3305394539266222,1005.0983565708883,948.6039639340147,J
709185,0.37401347527622497,994.6393398304447,922.4516682516818,J
618901,0.543035984671973,974.5517736300812,818.3403100000686,J
764079,0.5531524732182279,1088.8940822274062,907.1359179485042,J
708955,0.5937569359139812,1069.8987895777404,860.8881298356216,J
706176,0.6924645930060647,1127.2372613183136,813.2474197264769,J
